Waktu,Distance (cm),Duration (us)
2025-05-10 21:07:37,547.82,461.0
2025-05-10 21:07:38,547.82,461.0
2025-05-10 21:07:38,546.37,462.0
2025-05-10 21:07:39,547.82,461.0
2025-05-10 21:07:39,547.82,461.0
2025-05-10 21:07:40,546.37,462.0
2025-05-10 21:07:40,546.37,462.0
2025-05-10 21:07:41,547.82,461.0
2025-05-10 21:07:42,546.37,462.0
2025-05-10 21:07:42,546.37,462.0
2025-05-10 21:07:43,547.82,461.0
2025-05-10 21:07:43,547.82,461.0
2025-05-10 21:07:46,573.97,443.0
2025-05-10 21:07:46,492.61,499.0
2025-05-10 21:07:47,547.82,461.0
2025-05-10 21:07:48,465.0,518.0
2025-05-10 21:07:48,492.61,499.0
2025-05-10 21:07:49,518.76,481.0
2025-05-10 21:07:49,465.0,518.0
2025-05-10 21:07:50,492.61,499.0
2025-05-10 21:07:50,403.98,560.0
2025-05-10 21:07:51,433.04,540.0
2025-05-10 21:07:51,345.86,600.0
2025-05-10 21:07:52,403.98,560.0
2025-05-10 21:07:53,434.49,539.0
2025-05-10 21:07:53,345.86,600.0
2025-05-10 21:07:54,374.92,580.0
2025-05-10 21:07:54,284.84,642.0
2025-05-10 21:07:55,344.41,601.0
2025-05-10 21:07:55,373.47,581.0
2025-05-10 21:07:56,283.38,643.0
2025-05-10 21:07:57,315.35,621.0
2025-05-10 21:07:57,226.72,682.0
2025-05-10 21:07:58,280.48,645.0
2025-05-10 21:07:58,167.15,723.0
2025-05-10 21:07:59,226.72,682.0
2025-05-10 21:07:59,255.78,662.0
2025-05-10 21:08:00,167.15,723.0
2025-05-10 21:08:00,226.72,682.0
2025-05-10 21:08:01,107.58,764.0
2025-05-10 21:08:02,167.15,723.0
2025-05-10 21:08:02,78.52,784.0
2025-05-10 21:08:03,107.58,764.0
2025-05-10 21:08:03,167.15,723.0
2025-05-10 21:08:04,78.52,784.0
2025-05-10 21:08:04,107.58,764.0
2025-05-10 21:08:05,18.95,825.0
2025-05-10 21:08:05,78.52,784.0
2025-05-10 21:08:06,107.58,764.0
2025-05-10 21:08:07,18.95,825.0
2025-05-10 21:08:07,49.46,804.0
2025-05-10 21:08:08,-40.62,866.0
2025-05-10 21:08:08,-11.56,846.0
2025-05-10 21:08:09,18.95,825.0
2025-05-10 21:08:09,18.95,825.0
2025-05-10 21:08:10,48.01,805.0
2025-05-10 21:08:10,48.01,805.0
